length,score
321,-4.0
493,-40.0
403,-6.0
323,-41.0
1347,0.0
322,0.0
405,-40.0
709,-90.0
5829,-154.0
585,0.0
514,-40.0
324,0.0
471,-24.0
412,-32.0
3187,-300.0
846,-153.0
346,0.0
586,-71.0
2405,-100.0
826,-54.0
322,0.0
323,0.0
349,-40.0
2433,-200.0
323,-4.0
1016,-48.0
325,0.0
454,0.0
747,0.0
1655,-100.0
1695,0.0
839,0.0
499,0.0
466,-24.0
386,0.0
779,-100.0
411,-16.0
1093,-133.0
2239,0.0
503,-26.0
419,-26.0
322,0.0
387,-30.0
405,-55.0
513,-18.0
494,-22.0
423,-20.0
551,-28.0
327,0.0
320,0.0
387,0.0
398,0.0
399,-20.0
495,-44.0
841,-69.0
317,0.0
410,-7.0
416,0.0
1416,0.0
408,0.0
415,-11.0
1104,-20.0
1017,-166.0
501,0.0
321,0.0
327,-33.0
1952,-34.0
340,-22.0
518,-26.0
585,0.0
502,0.0
664,-54.0
431,-33.0
378,0.0
744,0.0
407,0.0
491,0.0
1003,-119.0
404,0.0
404,-40.0
334,-19.0
586,-5.0
754,-100.0
7733,-1310.0
3268,-300.0
582,-54.0
1939,0.0
862,-57.0
853,-26.0
591,-9.0
589,-24.0
422,0.0
1108,-46.0
662,-75.0
488,0.0
316,0.0
578,-25.0
657,-96.0
589,-22.0
412,-26.0
425,0.0
774,-84.0
326,-4.0
325,0.0
541,-33.0
761,0.0
1000,0.0
415,0.0
522,-24.0
295,0.0
218,0.0
1644,-100.0
768,-120.0
327,0.0
332,0.0
386,-40.0
402,-26.0
494,-26.0
403,-24.0
321,-6.0
521,-50.0
610,0.0
583,-32.0
467,0.0
997,0.0
745,-44.0
491,0.0
327,-11.0
331,0.0
2356,-200.0
679,-126.0
323,0.0
406,0.0
343,0.0
330,0.0
417,0.0
492,0.0
326,0.0
335,0.0
331,0.0
501,0.0
327,0.0
659,-64.0
405,0.0
423,-24.0
429,0.0
418,0.0
492,-20.0
1817,0.0
406,-20.0
327,0.0
346,0.0
424,-31.0
417,-2.0
502,0.0
349,0.0
1890,-100.0
421,0.0
533,-38.0
518,0.0
503,0.0
326,-31.0
493,0.0
472,0.0
322,0.0
757,-88.0
410,0.0
327,0.0
567,-20.0
417,0.0
348,0.0
440,0.0
336,-34.0
4852,-500.0
5059,0.0
326,0.0
323,-8.0
442,0.0
1272,-58.0
413,0.0
484,-53.0
3985,-100.0
408,0.0
322,0.0
496,0.0
409,0.0
852,-72.0
666,-55.0
242,0.0
2754,-200.0
7669,-471.0
840,-100.0
4136,-100.0
674,-86.0
411,0.0
317,0.0
492,-20.0
848,-22.0
707,-26.0
472,-20.0
320,0.0
335,-5.0
649,-52.0
323,0.0
498,-22.0
502,-54.0
1684,0.0
1921,-100.0
478,-4.0
531,-12.0
416,-11.0
328,0.0
349,-10.0
423,0.0
326,0.0
429,-6.0
501,-17.0
495,0.0
415,0.0
422,-17.0
397,-48.0
323,0.0
520,-24.0
503,-124.0
414,0.0
677,-42.0
3776,-150.0
605,-61.0
573,0.0
328,-12.0
350,-22.0
316,0.0
421,0.0
322,0.0
340,-15.0
495,-69.0
494,-41.0
289,0.0
413,0.0
576,-26.0
1018,-100.0
340,-37.0
841,-7.0
2255,-100.0
945,0.0
492,-48.0
583,-85.0
395,-30.0
401,-6.0
395,-28.0
561,-55.0
328,0.0
403,0.0
324,0.0
586,-11.0
680,-15.0
935,-84.0
408,-1.0
654,-26.0
427,-55.0
409,-96.0
772,-47.0
323,-9.0
325,-14.0
513,-41.0
748,-5.0
324,-20.0
326,0.0
401,-13.0
595,-7.0
2509,-138.0
399,-24.0
513,0.0
414,-17.0
319,0.0
512,0.0
2353,-100.0
581,-19.0
332,0.0
404,0.0
324,0.0
337,0.0
321,0.0
331,0.0
658,0.0
335,0.0
324,0.0
328,0.0
331,0.0
325,0.0
314,-5.0
324,-13.0
399,-24.0
408,-7.0
400,0.0
428,0.0
332,-22.0
321,0.0
410,0.0
558,-47.0
341,-26.0
493,0.0
408,0.0
322,0.0
548,-15.0
322,0.0
488,-54.0
325,0.0
404,-28.0
325,0.0
580,-34.0
495,-15.0
321,0.0
415,-14.0
326,-18.0
649,-34.0
511,0.0
408,0.0
399,-34.0
331,0.0
416,0.0
335,-9.0
584,-11.0
408,-42.0
388,-19.0
331,0.0
435,-17.0
475,-5.0
390,-15.0
323,0.0
474,-37.0
473,-15.0
336,0.0
405,-55.0
324,0.0
406,0.0
396,-21.0
486,-32.0
324,0.0
327,0.0
319,-5.0
336,0.0
470,-24.0
323,0.0
325,0.0
331,0.0
329,0.0
329,0.0
332,0.0
514,-25.0
314,0.0
328,0.0
326,0.0
328,0.0
415,-32.0
336,0.0
326,0.0
335,0.0
404,-15.0
505,-20.0
295,0.0
742,0.0
322,-16.0
326,-21.0
336,0.0
320,0.0
321,-9.0
335,0.0
337,-21.0
322,0.0
354,0.0
243,0.0
591,-24.0
382,-24.0
384,-28.0
388,0.0
315,0.0
403,-24.0
396,-14.0
480,-67.0
329,0.0
474,-24.0
337,0.0
408,0.0
322,0.0
394,0.0
406,-12.0
429,0.0
413,0.0
411,0.0
588,-17.0
335,0.0
324,0.0
418,-24.0
341,-21.0
327,0.0
420,0.0
423,0.0
388,-31.0
322,0.0
444,-13.0
345,-11.0
335,0.0
420,0.0
412,0.0
321,0.0
511,0.0
335,0.0
501,-46.0
407,0.0
404,0.0
405,-15.0
324,0.0
320,-2.0
333,-19.0
333,0.0
324,0.0
393,-28.0
561,-37.0
402,-26.0
433,-24.0
547,-107.0
350,0.0
406,-45.0
420,0.0
322,0.0
316,0.0
320,0.0
318,0.0
490,-22.0
323,0.0
410,-25.0
363,0.0
336,0.0
386,-24.0
326,0.0
326,-13.0
412,-26.0
391,0.0
384,-24.0
338,0.0
591,-17.0
419,-13.0
541,-48.0
389,0.0
326,-7.0
348,-21.0
423,-2.0
326,0.0
314,-18.0
321,0.0
421,0.0
319,0.0
338,-17.0
332,0.0
348,0.0
322,0.0
325,0.0
321,-11.0
387,-24.0
392,-24.0
386,-24.0
325,0.0
407,-32.0
321,0.0
335,0.0
494,-34.0
318,0.0
322,0.0
327,0.0
327,0.0
414,-18.0
317,0.0
339,0.0
327,0.0
391,-29.0
476,-30.0
500,-8.0
475,-24.0
407,0.0
461,0.0
327,0.0
321,0.0
322,0.0
391,-24.0
400,-24.0
434,-21.0
583,0.0
327,0.0
399,-24.0
324,0.0
322,0.0
403,-26.0
407,-24.0
325,0.0
413,0.0
321,-26.0
330,-5.0
331,0.0
411,0.0
331,0.0
322,0.0
327,-17.0
328,0.0
327,0.0
418,-15.0
406,0.0
679,-62.0
325,0.0
510,-33.0
401,-9.0
540,0.0
348,-5.0
328,0.0
412,-5.0
492,0.0
348,-13.0
698,-34.0
399,0.0
336,-13.0
323,0.0
406,0.0
575,0.0
328,0.0
414,0.0
555,-26.0
427,0.0
490,-40.0
659,0.0
670,-38.0
461,0.0
501,0.0
338,0.0
341,-22.0
410,0.0
491,-20.0
410,0.0
590,0.0
562,-5.0
479,-15.0
414,0.0
352,-24.0
334,0.0
492,-12.0
408,0.0
335,-11.0
510,0.0
495,0.0
320,0.0
331,0.0
417,0.0
337,0.0
584,0.0
489,0.0
427,-35.0
594,-8.0
426,0.0
338,0.0
417,0.0
326,0.0
426,0.0
494,-39.0
323,0.0
5005,-100.0
331,-26.0
341,0.0
501,-24.0
327,0.0
849,-156.0
408,0.0
338,0.0
501,0.0
430,0.0
5068,0.0
415,0.0
504,-26.0
326,0.0
673,0.0
408,-30.0
561,-28.0
1083,-48.0
415,0.0
498,0.0
322,0.0
670,-11.0
585,0.0
631,-100.0
328,0.0
518,0.0
519,0.0
518,0.0
324,0.0
510,0.0
412,0.0
410,0.0
684,-21.0
418,0.0
581,-16.0
6015,-182.0
499,0.0
496,-24.0
572,0.0
3399,-73.0
6470,-100.0
822,-24.0
428,-15.0
571,-21.0
603,-21.0
748,-19.0
589,0.0
670,-66.0
744,-32.0
493,-11.0
427,0.0
408,-20.0
3038,-100.0
2990,-100.0
768,-96.0
693,0.0
511,-24.0
409,0.0
415,-24.0
405,0.0
491,0.0
672,-46.0
5680,-100.0
687,-9.0
410,0.0
414,0.0
674,-26.0
594,0.0
662,-44.0
661,-22.0
330,0.0
570,0.0
3275,0.0
1005,-68.0
775,0.0
406,0.0
789,-41.0
484,0.0
516,-1.0
591,0.0
411,-11.0
428,-21.0
500,0.0
405,0.0
424,0.0
1463,-100.0
580,0.0
568,-66.0
2145,-300.0
1820,0.0
582,-11.0
2866,-100.0
3023,0.0
342,0.0
2193,-100.0
588,0.0
585,-41.0
1111,-100.0
772,0.0
498,0.0
1430,0.0
414,0.0
1753,-300.0
584,-24.0
423,0.0
311,0.0
1634,-324.0
3546,-400.0
852,0.0
486,-44.0
600,-84.0
759,-100.0
945,-22.0
286,0.0
451,0.0
872,-22.0
658,-42.0
521,-42.0
417,0.0
668,-24.0
4390,-100.0
498,0.0
506,0.0
749,-58.0
408,0.0
713,0.0
1099,-16.0
1012,-97.0
1168,0.0
1951,-100.0
651,0.0
853,-92.0
1295,-165.0
944,-165.0
1100,-24.0
2103,0.0
496,0.0
576,0.0
2659,-200.0
681,-13.0
1084,-200.0
586,-39.0
507,-1.0
339,0.0
666,-9.0
522,0.0
330,0.0
581,-47.0
356,0.0
571,-7.0
590,-59.0
670,0.0
501,0.0
695,-30.0
487,0.0
485,0.0
997,-25.0
493,0.0
434,0.0
436,0.0
1189,-201.0
2404,-200.0
1697,-14.0
4055,-144.0
834,-100.0
1293,-300.0
753,0.0
942,0.0
1682,0.0
913,-32.0
4153,-100.0
748,-64.0
2883,-200.0
508,0.0
327,0.0
770,-24.0
508,0.0
1180,-50.0
240,0.0
769,-20.0
413,0.0
667,0.0
673,-22.0
415,0.0
4654,-192.0
669,-3.0
1092,-66.0
575,-7.0
821,0.0
436,0.0
355,0.0
663,0.0
931,0.0
763,-89.0
759,0.0
435,0.0
804,0.0
5057,-200.0
2300,0.0
1699,-100.0
1015,-22.0
498,-17.0
2236,-408.0
1617,-1.0
1357,-68.0
1596,-404.0
1179,-24.0
836,0.0
940,-40.0
619,0.0
585,-64.0
1846,-100.0
1750,0.0
757,0.0
510,0.0
934,-94.0
424,0.0
657,0.0
616,0.0
3475,-368.0
473,0.0
932,0.0
1021,-100.0
590,-22.0
840,-26.0
1538,-215.0
632,0.0
1033,0.0
762,-46.0
1623,-144.0
4108,-476.0
1878,-200.0
465,0.0
374,0.0
1235,-26.0
593,0.0
419,0.0
753,-79.0
596,0.0
840,-110.0
2097,-100.0
7661,-200.0
823,0.0
600,-22.0
847,-90.0
317,-17.0
843,-9.0
4933,-200.0
1421,-153.0
581,0.0
7168,-600.0
556,0.0
669,-27.0
4417,-217.0
490,0.0
342,0.0
425,-19.0
582,-16.0
556,0.0
828,0.0
658,0.0
573,-40.0
778,-58.0
1278,-150.0
662,0.0
346,0.0
851,-38.0
741,-42.0
505,-22.0
944,-38.0
667,0.0
2550,-180.0
766,-72.0
511,-20.0
774,-66.0
2711,-122.0
2115,-100.0
1269,-123.0
2962,-100.0
681,-24.0
6199,-1432.0
483,-22.0
3947,-474.0
851,0.0
498,0.0
501,0.0
501,-23.0
634,0.0
784,-100.0
1537,-65.0
1036,-140.0
5042,-1205.0
675,0.0
2236,-293.0
538,0.0
615,0.0
1027,-24.0
685,0.0
764,0.0
702,-24.0
2617,-351.0
754,-44.0
1023,-30.0
757,-54.0
3212,-460.0
2376,-100.0
896,0.0
2411,-286.0
1616,-226.0
2240,-200.0
660,0.0
1004,-76.0
512,0.0
605,0.0
4702,-200.0
510,0.0
7553,-1089.0
674,-26.0
1749,-200.0
3642,-451.0
2337,-118.0
1105,-196.0
